Topic,Category,Level,Resource,Author / Provider,Course Code,Prerequisite,Priority in Website ,CSU Class,Best for (goal),URL Link
Javascript,Applied / Domain-Specific Resources,Advanced,Ariana Mims: Github,Ariana Mims:,N/A,N/A,1,N,Coding to Create a Game via blockchain,https://github.com/Aricmims/BlockchainTermProject/blob/main/contracts/Betting.sol
Javascript,Applied / Domain-Specific Resources,Intermediate,bug7A,bug7A,N/A,N/A,1,N,Understanding a variety of web app java templates,https://github.com/bug7a/javascript-mobile-app-template
Javascript,Online Courses / Structured Learning Paths,Intermediate,Building Interactive JavaScript Websites,Code Academy,N/A,N/A,1,N,Building a website using javascript,https://www.codecademy.com/learn/build-interactive-websites
Javascript,Online Courses / Structured Learning Paths,Beginner,Learn Javascript,CodeAcademy,N/A,N/A,1,N,Learn how to code in javascript,https://www.codecademy.com/enrolled/courses/introduction-to-javascript
Javascript,Online Courses / Structured Learning Paths,Beginner - Advanced,Java and Javascript Courses,Code Academy ,N/A,N/A,2,N,Accessing a wide array of Java and Javascript coding resources,
Javascript,Applied / Domain-Specific Resources,Beginner,The Javascript Language,Javascriptinf,N/A,N/A,1,N,Learning how to use Javascript and its various tools,https://javascript.info/js
Javascript,Online Courses / Structured Learning Paths,Intermediate,Javascript Personal Website: A Step by Step Guide,Codezup,N/A,N/A,1,N,Learning to develop a website with javascript,https://codezup.com/build-a-personal-website-with-javascript/
Matlab,Applied / Domain-Specific Resources,Advanced,Applications of MATLAB In Engineering,Ijraset,N/A,N/A,1,N,Applying Matlab skills to engineering practices,https://www.ijraset.com/research-paper/applications-of-matlab-in-engineering
Matlab,Online Courses / Structured Learning Paths,Beginner,Build Matlab Proficiency,Matlab help center,N/A,N/A,1,N,Developing a strong matlab foundation for more challenging applications,https://matlabacademy.mathworks.com/details/build-matlab-proficiency/lpmlbmp
Matlab,Online Courses / Structured Learning Paths,Intermediate,Data Analysis in Matlab ,Matlab Help Center ,N/A,N/A,1,N,Learning how to analyze complex datasets for broad applications,https://matlabacademy.mathworks.com/details/data-analysis-in-matlab/lpmldam
Matlab,Applied / Domain-Specific Resources,Advanced,Hack Your Carbon Impact Workshop: Carbon Footprint Calculator & Action Tracker,werixx1,N/A,N/A,2,N,Learning how to utilize Matlab for climate action applications,https://github.com/werixx1/CarbonImpactTracking_MATLAB_EXPO_2025
Matlab,Online Courses / Structured Learning Paths,Beginner,Handle Inconsistent and Unstructured Data Files ,Matlab Help Center ,N/A,N/A,1,N,Learning how to clean data and make it organized ,https://matlabacademy.mathworks.com/details/handle-inconsistent-and-unstructured-data-files/lpmlhiu
Matlab,Applied / Domain-Specific Resources,Beginner,Mathworks: Matlab help center,Mathworks ,N/A,N/A,1,N,"Learning how to use Matlab programming, scripts, arrays, and visualizations",https://www.mathworks.com/help/matlab/getting-started-with-matlab.html
Matlab,Applied / Domain-Specific Resources,Intermediate,MATLAB and it's applications for data science and machine learning ,Marco Giancola,N/A,N/A,1,N,Learning about matlab data applications and how to use them ,https://www.linkedin.com/pulse/matlab-its-applications-data-science-machine-learning-marco-giancola-letyf/
Matlab,Online Courses / Structured Learning Paths,Intermediate,Matlab desktop tools and troubleshooting scripts ,Matlab Help Center ,N/A,N/A,1,N,Troubleshooting scripts and optimizing your work environment ,https://matlabacademy.mathworks.com/details/matlab-desktop-tools-and-troubleshooting-scripts/otmldts
Matlab,Online Courses / Structured Learning Paths,Advanced,Matlab skills for simulink modeling ,Matlab Help Center ,N/A,N/A,1,N,Learning how to use simulink workflows ,https://matlabacademy.mathworks.com/details/matlab-skills-for-simulink-modeling/lpmlssm
Matlab,Online Courses / Structured Learning Paths,Intermediate,Model Dynamic Systems,Matlab Help Center ,N/A,N/A,1,N,Learning to build models in matlab,https://matlabacademy.mathworks.com/details/model-dynamic-systems/otslmds
Matlab,Online Courses / Structured Learning Paths,Intermediate,Organize Tabular data in matlab,Matlab Help Center ,N/A,N/A,2,N,Learning how to work with table data in matlab,https://matlabacademy.mathworks.com/details/organize-tabular-data-in-matlab/lpmlotd
Matlab,Applied / Domain-Specific Resources,Advanced,petercorke:github ,petercorke,N/A,N/A,1,N,Bringing robotics computations into MATLAB ,https://github.com/petercorke/robotics-toolbox-matlab
Matlab,Online Courses / Structured Learning Paths,Intermediate,Programming in Matlab,Matlab Help Center,N/A,N/A,2,N,Learning to Debug matlab coding and increase efficiency,https://matlabacademy.mathworks.com/?page=1&fq=programming&sort=featured
